		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000  263  245  242  232  245  247  255  273  6.226317 0.621897 SUCCESS  76
100101000  246  240  237  231  249  263  228  244  3.743628 0.879482 SUCCESS  77
100110000  246  233  235  257  226  249  241  271  6.188187 0.626161 SUCCESS  78
100111000  240  225  275  226  256  227  222  254 11.379168 0.181126 SUCCESS  79
101000000  237  279  215  266  245  237  249  235 11.660907 0.166987 SUCCESS  80
101000100  270  241  249  228  256  264  257  235  7.406230 0.493503 SUCCESS  81
101001000  260  228  240  246  232  236  253  262  4.846222 0.773879 SUCCESS  82
101001100  254  254  234  227  244  262  238  251  4.216017 0.837127 SUCCESS  83
101010000  248  252  224  262  244  257  261  234  5.739100 0.676430 SUCCESS  84
101010100  264  251  240  237  246  222  247  237  4.499874 0.809446 SUCCESS  85
101011000  264  254  248  240  228  236  245  240  3.679019 0.884861 SUCCESS  86
101011100  229  239  251  226  264  238  257  254  5.620473 0.689659 SUCCESS  87
101100000  227  228  239  261  234  224  225  235  7.714448 0.461849 SUCCESS  88
101100100  236  236  250  238  245  223  259  231  4.425732 0.816817 SUCCESS  89
101101000  246  233  248  250  233  261  219  269  7.775879 0.455664 SUCCESS  90
101101100  246  246  249  239  240  241  245  241  0.399836 0.999943 SUCCESS  91
101110000  210  221  232  256  247  243  280  227 15.155101 0.056199 SUCCESS  92
101110100  236  250  241  228  241  287  224  237 11.329387 0.183725 SUCCESS  93
101111000  258  252  242  233  250  244  224  233  4.008420 0.856363 SUCCESS  94
101111100  225  264  237  239  256  235  260  256  6.164885 0.628768 SUCCESS  95
110000000  252  248  218  250  237  244  227  237  5.036872 0.753628 SUCCESS  96
110000010  230  221  251  244  259  245  253  243  4.590962 0.800265 SUCCESS  97
110000100  220  210  256  240  248  240  252  231  9.197283 0.325928 SUCCESS  98
110001000  247  238  221  237  262  252  219  264  8.639101 0.373649 SUCCESS  99
110001010  265  261  243  246  236  236  261  235  5.191510 0.736925 SUCCESS 100
110010000  265  236  249  209  238  242  236  253  8.245091 0.409903 SUCCESS 101
110010010  240  258  233  245  229  245  244  230  3.233109 0.918888 SUCCESS 102
110010100  264  234  238  231  260  253  234  239  4.943665 0.763580 SUCCESS 103
110011000  254  247  239  271  252  241  245  269  6.548304 0.586055 SUCCESS 104
110011010  295  261  246  239  209  250  228  247 18.808170 0.015920 SUCCESS 105
110100000  255  263  236  266  238  236  249  248  4.920363 0.766053 SUCCESS 106
110100010  237  244  231  229  250  258  257  235  3.931101 0.863286 SUCCESS 107
110100100  246  217  267  271  223  246  238  246 10.488408 0.232404 SUCCESS 108
110101000  222  242  230  263  243  241  238  226  6.045200 0.642169 SUCCESS 109
110101010  267  239  243  226  233  226  217  222 10.832637 0.211364 SUCCESS 110
110101100  264  248  252  231  217  234  247  223  8.206961 0.413519 SUCCESS 111
110110000  207  232  244  256  239  243  231  241  7.947465 0.438619 SUCCESS 112
110110010  221  233  249  227  268  229  238  230  8.521534 0.384250 SUCCESS 113
110110100  239  250  248  254  243  265  239  266  4.724417 0.786584 SUCCESS 114
110111000  243  233  241  223  248  231  270  255  6.592789 0.581135 SUCCESS 115
110111010  221  258  268  256  236  287  233  234 15.120148 0.056851 SUCCESS 116
110111100  274  263  243  227  244  250  232  241  7.349035 0.499485 SUCCESS 117
111000000  258  254  224  264  237  247  222  245  6.945492 0.542525 SUCCESS 118
111000010  228  214  240  222  264  260  289  234 18.799697 0.015968 SUCCESS 119
111000100  248  245  214  230  241  229  219  240  8.514119 0.384925 SUCCESS 120
111000110  236  268  270  257  216  242  231  273 13.866094 0.085323 SUCCESS 121
111001000  237  237  237  220  263  245  217  270 10.577378 0.226814 SUCCESS 122
111001010  260  260  241  249  263  235  260  248  5.270948 0.728263 SUCCESS 123
111001100  281  245  236  266  256  240  244  254  9.153857 0.329484 SUCCESS 124
111010000  256  261  246  260  263  257  240  227  6.412731 0.601103 SUCCESS 125
111010010  259  237  256  233  246  276  235  259  7.883915 0.444891 SUCCESS 126
111010100  232  253  232  252  244  223  231  208  9.991658 0.265612 SUCCESS 127
111010110  256  263  225  253  229  248  230  231  6.598085 0.580550 SUCCESS 128
111011000  196  246  249  250  266  242  224  271 16.896372 0.031206 SUCCESS 129
111011010  239  249  250  257  239  253  229  258  3.290304 0.914841 SUCCESS 130
111011100  255  228  245  227  260  247  258  233  5.291072 0.726061 SUCCESS 131
111100000  245  273  239  236  260  254  236  247  5.722153 0.678322 SUCCESS 132
111100010  273  253  224  243  235  223  249  236  8.211197 0.413117 SUCCESS 133
111100100  233  236  217  251  238  268  235  232  7.671022 0.466247 SUCCESS 134
111100110  265  258  254  230  225  256  220  255  9.034171 0.339422 SUCCESS 135
111101000  250  255  223  246  271  272  249  245  9.008751 0.341558 SUCCESS 136
111101010  233  236  221  247  254  226  224  219  9.300022 0.317622 SUCCESS 137
111101100  215  244  245  253  252  238  261  244  5.559042 0.696490 SUCCESS 138
111101110  259  249  249  246  267  237  247  241  3.662072 0.886254 SUCCESS 139
111110000  240  291  263  254  261  251  260  235 14.130886 0.078417 SUCCESS 140
111110010  248  231  218  233  275  237  249  240  8.635924 0.373933 SUCCESS 141
111110100  258  256  246  249  260  245  234  248  3.097536 0.928088 SUCCESS 142
111110110  246  248  241  272  244  268  236  250  6.252796 0.618938 SUCCESS 143
111111000  247  245  267  254  213  236  256  216 11.001045 0.201640 SUCCESS 144
111111010  256  236  233  222  264  231  252  222  8.215434 0.412714 SUCCESS 145
111111100  241  241  241  255  243  244  257  225  2.882525 0.941512 SUCCESS 146
111111110  259  249  248  250  249  256  260  237  3.228873 0.919184 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  261  228  254  273  268  236  270  245 11.788007 0.160916 SUCCESS   0
000000011  256  240  239  276  249  236  276  210 14.703895 0.065165 SUCCESS   1
000000101  249  229  250  235  251  255  236  248  2.613496 0.956228 SUCCESS   2
000000111  247  260  235  275  266  260  283  240 15.064012 0.057913 SUCCESS   3
000001001  262  262  254  247  266  228  240  230  7.201811 0.515024 SUCCESS   4
000001011  255  248  268  235  252  230  224  238  6.315287 0.611961 SUCCESS   5
000001101  210  233  247  265  235  258  246  231  9.252359 0.321457 SUCCESS   6
000001111  234  252  242  257  261  259  259  265  6.346003 0.608535 SUCCESS   7
000010001  243  253  236  237  238  257  254  285  9.186691 0.326793 SUCCESS   8
000010011  251  273  267  256  266  239  224  240 10.473580 0.233346 SUCCESS   9
000010101  227  236  227  226  255  231  220  277 12.431981 0.132946 SUCCESS  10
000010111  245  237  243  230  232  241  240  211  6.454038 0.596510 SUCCESS  11
000011001  262  217  265  251  220  253  241  248  9.421826 0.307969 SUCCESS  12
000011011  237  212  244  236  241  278  239  244  9.881505 0.273441 SUCCESS  13
000011101  229  242  232  251  245  220  265  235  6.479458 0.593687 SUCCESS  14
000011111  232  252  218  237  260  264  250  253  7.213461 0.513787 SUCCESS  15
000100011  254  238  243  250  238  253  261  274  6.204075 0.624384 SUCCESS  16
000100101  250  271  270  234  234  229  246  250  8.041731 0.429404 SUCCESS  17
000100111  224  258  248  246  290  233  241  220 14.557730 0.068338 SUCCESS  18
000101001  245  240  229  250  249  258  261  278  8.175186 0.416547 SUCCESS  19
000101011  214  232  223  203  231  243  220  255 17.225774 0.027842 SUCCESS  20
000101101  238  252  244  230  241  215  228  262  7.357508 0.498597 SUCCESS  21
000101111  262  252  249  240  224  241  255  214  7.892388 0.444052 SUCCESS  22
000110011  235  240  234  217  254  237  235  239  5.068647 0.750214 SUCCESS  23
000110101  246  261  263  270  240  229  246  261  7.829897 0.450260 SUCCESS  24
000110111  238  246  252  233  222  248  246  260  4.181064 0.840429 SUCCESS  25
000111001  255  270  288  244  251  265  234  245 13.977306 0.082359 SUCCESS  26
000111011  236  248  235  238  241  234  258  234  2.580662 0.957863 SUCCESS  27
000111101  266  234  246  228  251  262  232  281 11.515801 0.174150 SUCCESS  28
000111111  229  233  262  248  270  268  238  262  9.674967 0.288584 SUCCESS  29
